Numero de radar;Type de radar;Date de mise en service;VMA ;Latitude; Longitude
915;ETF;16/11/2007 00:00;80;+47.71148;-3.22242
916;ETF;11/12/2007 00:00;70;+46.84953;+0.49934
917;ETF;19/10/2007 00:00;70;+47.55821;+1.29675
918;ETF;13/03/2008 00:00;80;+47.32609;-1.47804
919;ETF;18/04/2008 00:00;80;+47.05021;-1.36625
920;ETF;26/12/2007 00:00;70;+47.97951;+0.20027
921;ETF;03/12/2007 00:00;70;+47.87434;+1.84459
922;ETF;13/08/2007 00:00;90;+48.07385;+2.76789
923;ETF;17/06/2008 00:00;80;+43.50248;-0.58559
924;ETF;12/11/2007 00:00;70;+43.77690;+7.27639
925;ETF;15/10/2007 00:00;80;+45.48539;+6.14529
926;ETF;08/01/2010 00:00;80;+46.06860;+6.44769
927;ETF;18/11/2007 00:00;70;+43.96119;+2.17115
928;ETF;07/12/2007 00:00;80;+46.87029;-1.93763
929;ETF;17/09/2007 08:00;90;+47.54967;+6.77477
930;ETF;28/08/2008 00:00;110;+48.83140;+2.64260
931;ETF;25/03/2008 00:00;90;+48.58150;+2.96210
932;ETF;11/04/2008 00:00;50;+43.22008;+0.06637
933;ETF;19/03/2008 01:00;70;+15.99802;-61.60533
934;ETF;20/05/2008 00:00;50;+46.02538;+2.13442
935;ETF;07/01/2008 00:00;90;+50.05332;+3.93013
936;ETF;05/03/2008 00:00;130;+50.72106;+2.74673
937;ETF;23/11/2007 00:00;80;+43.96279;+6.73998
938;ETF;03/01/2008 00:00;70;+48.58703;-1.13328
939;ETF;22/02/2008 00:00;80;+44.64784;+6.08645
940;ETF;04/06/2008 00:00;80;+49.01197;+1.31620
941;ETF;19/03/2008 00:00;70;+46.99567;+3.11778
942;ETF;25/03/2008 00:00;70;+47.00180;+3.09993
943;ETF;15/12/2009 00:00;70;+48.92523;+2.39371
944;ETF;08/11/2007 00:00;80;+48.47226;+3.46008
945;ETF;03/12/2007 00:00;80;+42.75120;+1.77227
946;ETF;09/06/2008 00:00;90;+49.05014;+2.14312
947;ETF;18/04/2008 00:00;90;+49.06125;+2.08489
948;ETF;22/02/2008 00:00;90;+46.59105;+3.47675
949;ETF;12/03/2008 00:00;50;+49.31950;+0.13222
950;ETF;25/11/2008 00:00;90;+45.28102;+0.04335
951;ETF;25/02/2009 00:00;70;+42.58693;+9.50569
952;ETF;21/02/2008 00:00;80;+48.18909;-1.18254
953;ETF;22/02/2008 00:00;90;+46.82880;+1.81975
954;ETF;13/12/2007 00:00;70;+45.41628;+4.40550
955;ETF;18/04/2008 00:00;80;+47.11442;-1.28277
956;ETF;02/02/2008 00:00;90;+47.68875;+1.95795
957;ETF;07/12/2007 00:00;90;+48.20570;+2.23879
