Numéro de radar;Type de radar;Date de mise en service;VMA ;Latitude; Longitude
FE159031;ETFR;13/05/2011 00:00;NA;+50.64758;+3.02644
FE159033;ETFR;15/06/2011 00:00;NA;+50.33424;+3.30118
FE159034;ETFR;25/05/2011 00:00;NA;+50.33397;+3.30235
FE159037;ETFR;25/05/2011 00:00;NA;+50.37334;+3.39236
FE159040;ETFR;25/05/2011 00:00;NA;+50.37373;+3.39259
FE159041;ETFR;30/01/2012 00:00;NA;+51.03116;+2.34978
FE159043;ETFR;02/08/2012 00:00;NA;+51.02777;+2.36432
FE159045;ETFR;30/01/2012 00:00;NA;+51.03167;+2.34941
FE160005;ETFR;05/03/2010 00:00;NA;+49.39815;+3.04604
FE160010;ETFR;13/07/2010 00:00;NA;+49.43608;+2.08258
FE160011;ETFR;12/04/2010 00:00;NA;+49.30030;+2.60447
FE160016;ETFR;18/06/2010 00:00;NA;+49.19874;+2.57920
FE160019;ETFR;20/12/2010 00:00;NA;+49.16911;+2.23774
FE160023;ETFR;28/04/2011 00:00;NA;+49.26013;+2.47500
FE160029;ETFR;20/12/2010 00:00;NA;+49.16911;+2.23887
FE162001;ETFR;04/04/2011 00:00;NA;+50.44259;+2.85414
FE162002;ETFR;16/01/2011 00:00;NA;+50.50951;+2.72781
FE162004;ETFR;04/04/2011 00:00;NA;+50.42462;+2.92811
FE162007;ETFR;11/02/2011 00:00;NA;+50.28820;+2.78034
FE162008;ETFR;28/04/2011 00:00;NA;+50.44310;+2.85474
FE162009;ETFR;16/01/2011 00:00;NA;+50.50994;+2.72999
FE162010;ETFR;03/01/2013 00:00;NA;+50.44957;+2.81837
FE162011;ETFR;02/06/2011 00:00;NA;+50.42525;+2.92709
FE162015;ETFR;29/03/2012 00:00;NA;+50.41712;+2.94742
FE162016;ETFR;29/03/2012 00:00;NA;+50.41011;+2.93464
FE162017;ETFR;20/12/2012 00:00;NA;+50.94629;+1.88964
FE162019;ETFR;09/03/2012 00:00;NA;+50.41682;+2.94691
FE162020;ETFR;09/03/2012 00:00;NA;+50.41056;+2.93454
FE162021;ETFR;20/12/2012 00:00;NA;+50.94613;+1.88849
FE162022;ETFR;20/12/2012 00:00;NA;+50.94430;+1.82252
FE167000;ETFR;25/01/2010 00:00;NA;+48.56507;+7.70658
FE167002;ETFR;08/01/2010 00:00;NA;+48.57540;+7.75624
FE167006;ETFR;25/08/2011 00:00;NA;+48.56451;+7.70597
FE167007;ETFR;09/09/2011 00:00;NA;+48.81350;+7.78417
FE167008;ETFR;20/05/2011 00:00;NA;+48.26793;+7.45673
FE167010;ETFR;09/09/2011 00:00;NA;+48.81083;+7.78316
FE167013;ETFR;25/08/2011 00:00;NA;+48.59147;+7.73109
FE167014;ETFR;18/04/2011 00:00;NA;+48.26896;+7.45738
FE167015;ETFR;18/04/2011 00:00;NA;+48.25858;+7.45031
FE167017;ETFR;02/06/2011 00:00;NA;+48.59139;+7.73171
FE168000;ETFR;08/06/2010 00:00;NA;+48.08655;+7.33138
FE168003;ETFR;11/10/2010 00:00;NA;+47.75009;+7.30572
FE168004;ETFR;25/06/2010 00:00;NA;+48.07497;+7.35078
FE168007;ETFR;08/06/2010 00:00;NA;+47.75936;+7.34452
FE168010;ETFR;04/04/2011 00:00;NA;+48.070098;+7.353967
FE168011;ETFR;04/04/2011 00:00;NA;+48.08379;+7.34739
FE168012;ETFR;04/04/2011 00:00;NA;+48.08063;+7.36049
FE168013;ETFR;08/08/2011 00:00;NA;+47.76050;+7.33920
FE168014;ETFR;15/06/2011 00:00;NA;+47.76880;+7.32611
FE168015;ETFR;21/06/2012 00:00;NA;+47.74110;+7.34390
FE168016;ETFR;08/08/2011 00:00;NA;+47.73220;+7.29444
FE170000;ETFR;27/09/2010 00:00;NA;+47.62728;+6.17214
FE170005;ETFR;27/09/2010 00:00;NA;+47.69792;+6.63810
FE170008;ETFR;27/09/2010 00:00;NA;+47.69814;+6.63669
FE172000;ETFR;10/08/2010 00:00;NA;+47.96879;+0.21026
FE172001;ETFR;18/04/2011 00:00;NA;+47.97446;+0.22575
FE172002;ETFR;10/08/2010 00:00;NA;+48.00846;+0.18080
FE172003;ETFR;10/08/2010 00:00;NA;+47.96978;+0.21043
FE172004;ETFR;18/04/2011 00:00;NA;+47.97511;+0.22431
FE172005;ETFR;10/08/2010 00:00;NA;+48.00901;+0.18087
FE172006;ETFR;18/04/2011 00:00;NA;+47.96239;+0.17729
FE172007;ETFR;18/04/2011 00:00;NA;+47.96291;+0.17686
FE172008;ETFR;09/09/2011 00:00;NA;+47.71996;-0.10689
FE172009;ETFR;09/09/2011 00:00;NA;+47.71908;-0.10594
FE175005;ETFR;03/01/2013 00:00;NA;+48.83718;+2.29687
FE175006;ETFR;08/02/2013 00:00;NA;+48.87522;+2.27155
FE175010;ETFR;18/02/2013 00:00;NA;+48.88411;+2.36773
FE175012;ETFR;05/02/2013 00:00;NA;+48.86931;+2.33831
FE175013;ETFR;20/12/2012 00:00;NA;+48.88430;+2.36107
FE175014;ETFR;05/02/2013 00:00;NA;+48.87832;+2.35360
FE175015;ETFR;08/02/2013 00:00;NA;+48.83221;+2.37974
FE175017;ETFR;03/01/2013 00:00;NA;+48.86374;+2.37157
FE175018;ETFR;08/02/2013 00:00;NA;+48.87474;+2.27069
FE175019;ETFR;23/10/2009 00:00;NA;+48.85692;+2.34858
FE175043;ETFR;08/02/2013 00:00;NA;+48.86091;+2.34080
FE176000;ETFR;28/04/2011 00:00;NA;+49.43650;+1.13427
FE176001;ETFR;09/04/2010 00:00;NA;+49.52286;+0.10446
FE176002;ETFR;26/01/2011 00:00;NA;+49.90506;+1.07685
FE176004;ETFR;17/09/2010 00:00;NA;+49.42248;+1.71688
FE176005;ETFR;28/04/2011 00:00;NA;+49.45289;+1.05604
FE176007;ETFR;17/09/2010 00:00;NA;+49.53334;+0.35628
FE176011;ETFR;28/04/2011 00:00;NA;+49.42570;+1.08262
FE176013;ETFR;02/08/2012 00:00;NA;+49.91393;+1.07488
FE176014;ETFR;15/06/2011 00:00;NA;+49.48864;+0.15095
FE176015;ETFR;28/04/2011 00:00;NA;+49.75099;+0.88116
FE176021;ETFR;10/01/2011 00:00;NA;+49.90215;+1.11774
FE177000;ETFR;06/04/2012 00:00;NA;+48.96700;+2.69885
FE177001;ETFR;18/12/2012 00:00;NA;+48.18572;+2.73246
FE178001;ETFR;07/07/2009 00:00;NA;+48.89287;+2.14076
FE178002;ETFR;01/10/2009 00:00;NA;+48.89715;+2.11761
FE178003;ETFR;01/10/2009 00:00;NA;+48.90286;+2.13752
FE178005;ETFR;21/02/2011 00:00;NA;+48.85559;+2.10732
FE178006;ETFR;18/04/2011 00:00;NA;+48.80545;+2.13674
FE178008;ETFR;11/02/2011 00:00;NA;+48.74872;+1.92529
FE178010;ETFR;28/04/2011 00:00;NA;+48.82380;+1.94105
FE178012;ETFR;03/10/2011 00:00;NA;+48.76926;+1.94786
FE178013;ETFR;25/05/2011 00:00;NA;+48.93856;+2.03619
FE178014;ETFR;04/04/2011 00:00;NA;+48.80679;+2.12496
FE178015;ETFR;04/04/2011 00:00;NA;+48.80519;+2.13535
FE178016;ETFR;09/09/2011 00:00;NA;+48.77629;+2.03781
FE178017;ETFR;21/09/2011 00:00;NA;+48.77623;+2.03699
FE178018;ETFR;21/03/2011 00:00;NA;+48.99018;+1.71124
FE178019;ETFR;15/06/2011 00:00;NA;+48.93880;+2.03547
FE178020;ETFR;15/06/2011 00:00;NA;+48.82331;+1.94037
FE178021;ETFR;05/02/2013 00:00;NA;+48.88902;+2.10422
FE180001;ETFR;28/02/2011 00:00;NA;+49.87529;+2.32955
FE180002;ETFR;28/02/2011 00:00;NA;+49.91591;+2.29408
FE180003;ETFR;18/03/2011 00:00;NA;+49.88553;+2.30380
FE180004;ETFR;18/03/2011 00:00;NA;+49.90370;+2.28755
FE180005;ETFR;28/02/2011 00:00;NA;+49.91509;+2.29460
FE180006;ETFR;28/02/2011 00:00;NA;+49.88613;+2.30352
FE180007;ETFR;25/05/2011 00:00;NA;+49.90878;+2.32554
FE180009;ETFR;25/05/2011 00:00;NA;+49.90147;+2.33232
FE180010;ETFR;03/10/2011 00:00;NA;+49.87342;+2.35034
FE180011;ETFR;09/03/2012 00:00;NA;+49.86795;+2.27890
FE180012;ETFR;02/06/2011 00:00;NA;+49.88915;+2.28117
FE180016;ETFR;25/08/2011 00:00;NA;+49.90049;+2.29862
FE185000;ETFR;02/06/2010 00:00;NA;+46.69814;-1.94682
FE190000;ETFR;20/12/2012 00:00;NA;+47.603327;+6.821876
FE190001;ETFR;20/12/2012 00:00;NA;+47.602709;+6.821456
FE191001;ETFR;10/01/2011 00:00;NA;+48.634445;+2.343186
FE191002;ETFR;19/11/2010 00:00;NA;+48.63465;+2.34434
FE191003;ETFR;20/10/2010 00:00;NA;+48.67808;+2.49661
FE191004;ETFR;11/10/2010 00:00;NA;+48.67825;+2.17504
FE191005;ETFR;11/10/2010 00:00;NA;+48.67915;+2.17443
FE191007;ETFR;08/08/2011 00:00;NA;+48.63506;+2.26621
FE191008;ETFR;20/10/2010 00:00;NA;+48.69568;+2.29870
FE191009;ETFR;10/01/2011 00:00;NA;+48.75244;+2.20435
FE191010;ETFR;07/01/2013 00:00;NA;+48.59986;+2.48050
